author,avg_rating,genres,language,num_pages,num_ratings,num_reviews,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5,title
Aimee Carter,3.82,"Romance, Young Adult, Fantasy, Paranormal, Mythology",English,293.0,50291,5083,$7.63,2011-04-19 00:00:00,1930,4238,11647,15746,16730,The Goddess Test
Robert Jordan,4.43,"Fantasy, Epic Fantasy, Fiction",English,863.0,111269,2659,$6.50,2010-11-02 00:00:00,952,1870,9978,34214,64255,Towers of Midnight
David Gemmell,4.26,"Fantasy, Epic Fantasy, Fiction",English,345.0,24442,1083,$4.99,1994-04-26 00:00:00,243,763,3467,7934,12035,Legend
Robin S. Sharma,3.82,"Nonfiction, Spirituality, Unfinished, Self Help, Philosophy, Inspirational, Business, Personal Development, Audiobook, Psychology",English,208.0,83725,4690,$5.17,1999-04-21 00:00:00,3474,6736,18453,28116,26946,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny
Gore Vidal,4.08,"Military History, The United States Of America, Fiction, Historical Fiction, Politics, American Revolution, Literature, American History, Historical, North American Hi..., Novels, American",English,430.0,7639,545,$2.84,2000-02-15 00:00:00,94,274,1377,3114,2780,Burr
Lemony Snicket,4.0,"Young Adult, Childrens, Fantasy, Fiction",English,337.0,80382,3955,$21.80,2006-10-13 00:00:00,1813,4862,16276,25858,31573,The End
Miguel Ruiz,4.15,"Self Help, Philosophy, Nonfiction, Spirituality",English,168.0,147636,8298,$0.99,2001-09-14 00:00:00,3168,7364,23736,43698,69670,The Four Agreements: A Practical Guide to Personal Freedom
Robin McKinley,4.21,"Fiction, Fantasy, Young Adult, Dragons, Adventure",English,240.0,47950,2128,$224.99,1987-04-15 00:00:00,680,1612,7499,15320,22839,The Hero and the Crown
Patricia Cornwell,4.02,"Mystery, Fiction, Mystery Thriller, Thriller, Crime",English,342.0,192259,2559,$43.00,2003-12-30 00:00:00,3199,7401,40555,72817,68287,Postmortem
Terry Pratchett,4.02,"Fantasy, Humor, Fiction",English,228.0,121590,3377,$13.86,2005-09-13 00:00:00,927,4048,27380,48530,40705,Equal Rites
Tamora Pierce,4.28,"Fantasy, Fiction, Young Adult",English,453.0,53786,1320,$9.30,2004-09-17 00:00:00,509,1504,7574,16888,27311,Trickster's Choice
Theodore Taylor,3.75,"Fiction, Historical Fiction, Young Adult, Academic, Childrens, Survival, Read For School, School, Historical, Middle Grade, Classics, Adventure",English,156.0,29753,2283,$9.47,2003-04-08 00:00:00,933,2467,7942,10061,8350,The Cay
Christopher Pike,3.83,"Romance, Mystery, Paranormal Romance, Fiction, Fantasy, Young Adult, Paranormal, Thriller, Vampires, Adventure",English,594.0,32061,1628,$6.00,2009-08-04 00:00:00,2056,2926,6450,7652,12977,"Thirst No. 1: The Last Vampire, Black Blood, and Red Dice"
Stephen King,3.94,"Horror, Fiction",English,611.0,90423,4949,$279.90,2008-01-26 00:00:00,1391,5140,20413,34015,29464,Duma Key
Lissa Price,3.91,"Romance, Mystery, Fiction, Young Adult, Fantasy, Dystopia, Apocalyptic, Science Fiction, Post Apocalyptic, Futuristic, Teen",English,352.0,38637,4272,$130.00,2012-03-13 00:00:00,787,2391,8850,14274,12335,Starters
Mikhail Lermontov,4.11,"Fiction, Russia, Literature, Cultural, Russian Literature, Classics",English,185.0,41178,1239,$12.89,1966-08-30 00:00:00,700,1894,7464,13295,17825,A Hero of Our Time
Rick Riordan,4.28,"Fantasy, Young Adult, Childrens, Mythology, Middle Grade",English,376.0,79508,8985,$3.50,2016-05-03 00:00:00,610,1862,10607,28055,38374,The Hidden Oracle
John Flanagan,4.33,"Fantasy, Adventure, Fiction, Young Adult",English,294.0,74062,1841,$4.75,2008-03-18 00:00:00,601,1446,9390,23898,38727,The Battle for Skandia
Rainbow Rowell,3.92,"Romance, Womens Fiction, Fiction, Contemporary, Adult, Chick Lit",English,323.0,147174,18293,$10.05,2011-04-14 00:00:00,3494,7606,31877,58267,45930,Attachments
Mika Waltari,4.11,"Fiction, Historical Fiction, Egypt, European Literature, Finnish Literature, Historical, Classics, Northern Africa",Persian,904.0,15720,768,Not available,,409,804,2537,4942,7028,سینوهه
Stephen King,3.62,"Horror, Science Fiction, Fiction",French,688.0,138404,2195,$2.31,2002-03-01 00:00:00,5693,15315,40901,41157,35338,Dreamcatcher
Michael  Grant,4.18,"Young Adult, Dystopia, Science Fiction, Fantasy",English,494.0,45856,1987,$39.93,2011-04-05 00:00:00,676,1667,7163,15438,20912,Plague
Anne Rice,3.86,"Fiction, Fantasy, Paranormal, Horror, Vampires",English,774.0,29055,705,$12.44,2003-04-26 00:00:00,748,2186,7096,9437,9588,Blackwood Farm
Holly Black,3.73,"Fiction, Fantasy, Young Adult, Paranormal, Urban Fantasy, Fairies",English,332.0,66019,3657,$9.96,2004-04-26 00:00:00,2964,6141,16673,19925,20316,Tithe: A Modern Faerie Tale
Jean M. Auel,3.79,"Romance, Fiction, Historical Fiction, Fantasy, Historical",English,784.0,46362,1163,$6.84,2002-06-25 00:00:00,775,3794,13070,15381,13342,The Plains of Passage
