title,avg_rating,genres,author,num_pages,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5
Keeper of the Lost Cities,4.46,"Fantasy, Young Adult, Childrens, Middle Grade, Adventure",Shannon Messenger,496,$6.07,10/2/2012,297,444,1337,3800,10875
The Pelican Brief,3.98,"Mystery, Fiction, Thriller, Suspense, Crime",John Grisham,400,$16.79,4/25/2006,2625,13119,78614,129455,106601
Halfway to the Grave,4.17,"Urban Fantasy, Paranormal Romance, Paranormal, Vampires, Romance, Fantasy",Jeaniene Frost,358,$5.60,10/30/2007,2805,5308,18651,38773,59402
The Well of Ascension,4.37,"Fiction, Epic Fantasy, High Fantasy, Fantasy",Brandon Sanderson,590,$6.90,8/21/2007,744,3333,23380,82076,113861
The Body Finder,3.96,"Romance, Mystery, Fiction, Young Adult, Fantasy, Paranormal, Urban Fantasy, Suspense, Supernatural, Paranormal Romance",Kimberly Derting,327,$11.00,3/16/2010,1238,3011,9786,15357,17643
Death on the Nile,4.09,"Fiction, Crime, Classics, Mystery",Agatha Christie,214,$14.02,4/26/1978,348,2241,19099,39397,33382
By the River Piedra I Sat Down and Wept,3.57,"Romance, Novels, Philosophy, Fiction",Paulo Coelho,208,$30.99,5/23/2006,3985,9370,22779,23633,19548
Autobiography of a Yogi,4.23,"Nonfiction, Spirituality, Philosophy, Religion, Biography",Paramahansa Yogananda,520,$11.70,5/1/1994,957,1673,5299,9949,20100
The Language of Flowers,4.08,"Romance, Adult Fiction, Contemporary, Fiction, Book Club",Vanessa Diffenbaugh,323,$9.57,8/23/2011,1692,6181,31802,77300,62931
Thoughtless,4.11,"New Adult, Contemporary Romance, Contemporary, Romance",S.C. Stephens,530,$17.89,6/11/2011,5684,7371,18337,33548,64078
A Clash of Kings,4.41,"Fiction, Science Fiction Fantasy, Epic Fantasy, Fantasy",George R.R. Martin,969,$8.25,5/28/2002,2211,8064,62817,249860,373136
